;kingdom;phylum;class;order;family;scientificname;locality;month;year;taxonkey
61;PLANTAE;BRYOPHYTA;BRYOPSIDA;ORTHOTRICHALES;ORTHOTRICHACEAE;ZYGODON REINWARDTII A.BRAUN, 1838;IGUAQUE;6.0;2001.0;5281044
203;PLANTAE;TRACHEOPHYTA;LILIOPSIDA;POALES;BROMELIACEAE;VRIESEA TEQUENDAMAE (ANDRA©) L.B.SM.;IGUAQUE;12.0;2002.0;5288981
285;PLANTAE;TRACHEOPHYTA;MAGNOLIOPSIDA;OXALIDALES;CUNONIACEAE;WEINMANNIA L.;SUMAPAZ;1.0;2002.0;3032536
297;PLANTAE;TRACHEOPHYTA;MAGNOLIOPSIDA;OXALIDALES;CUNONIACEAE;WEINMANNIA L.;IGUAQUE;5.0;2003.0;3032536
849;PLANTAE;BRYOPHYTA;BRYOPSIDA;HYPNALES;HYPNACEAE;VESICULARIA VESICULARIS BROTHERUS, 1908;GUACHAROS;11.0;2001.0;5283694
885;PLANTAE;TRACHEOPHYTA;LILIOPSIDA;POALES;BROMELIACEAE;VRIESEA FRAGRANS (ANDRA©) L.B.SM.;IGUAQUE;12.0;2002.0;5287810
1541;PLANTAE;BRYOPHYTA;BRYOPSIDA;HYPNALES;SEMATOPHYLLACEAE;TRICHOSTELEUM PAPILLOSUM JAEGER, 1878;GUACHAROS;11.0;2001.0;2681063
1542;PLANTAE;BRYOPHYTA;BRYOPSIDA;HYPNALES;SEMATOPHYLLACEAE;TRICHOSTELEUM PAPILLOSUM JAEGER, 1878;GUACHAROS;11.0;2001.0;2681063
1594;PLANTAE;TRACHEOPHYTA;LILIOPSIDA;POALES;CYPERACEAE;UNCINIA HAMATA (SW.) URB.;IGUAQUE;12.0;2002.0;5291985
1637;PLANTAE;TRACHEOPHYTA;LILIOPSIDA;POALES;CYPERACEAE;UNCINIA PERS.;IGUAQUE;12.0;2002.0;2717987
2572;PLANTAE;MARCHANTIOPHYTA;JUNGERMANNIOPSIDA;JUNGERMANNIALES;TRICHOCOLEACEAE;TRICHOCOLEACEAE;GALERAS;7.0;1995.0;6127
2587;PLANTAE;MARCHANTIOPHYTA;JUNGERMANNIOPSIDA;JUNGERMANNIALES;TRICHOCOLEACEAE;TRICHOCOLEACEAE;IGUAQUE;12.0;2002.0;6127
2801;PLANTAE;BRYOPHYTA;BRYOPSIDA;HOOKERIALES;HOOKERIACEAE;TRACHYXIPHIUM GLANDULIFERUM CHURCHILL & LINARES C., 1995;GUACHAROS;11.0;2001.0;2669988
2818;PLANTAE;BRYOPHYTA;BRYOPSIDA;HOOKERIALES;HOOKERIACEAE;TRACHYXIPHIUM GLANDULIFERUM CHURCHILL & LINARES C., 1995;GUACHAROS;11.0;2001.0;2669988
2848;PLANTAE;BRYOPHYTA;BRYOPSIDA;HOOKERIALES;HOOKERIACEAE;TRACHYXIPHIUM GLANDULIFERUM CHURCHILL & LINARES C., 1995;GUACHAROS;11.0;2001.0;2669988
2852;PLANTAE;BRYOPHYTA;BRYOPSIDA;HOOKERIALES;HOOKERIACEAE;TRACHYXIPHIUM GLANDULIFERUM CHURCHILL & LINARES C., 1995;IGUAQUE;6.0;2001.0;2669988
2863;PLANTAE;MARCHANTIOPHYTA;JUNGERMANNIOPSIDA;JUNGERMANNIALES;HERBERTACEAE;TRIANDROPHYLLUM SUBTRIFIDUM (HOOK.F. & TAYLOR) FULFORD & HATCHER;IGUAQUE;6.0;2001.0;2689384
2871;PLANTAE;BRYOPHYTA;BRYOPSIDA;HOOKERIALES;HOOKERIACEAE;TRACHYXIPHIUM SUBFALCATUM W.R.BUCK, 1987;GUACHAROS;11.0;2001.0;2669993
2875;PLANTAE;BRYOPHYTA;BRYOPSIDA;HOOKERIALES;HOOKERIACEAE;TRACHYXIPHIUM SUBFALCATUM W.R.BUCK, 1987;GUACHAROS;11.0;2001.0;2669993
2885;PLANTAE;BRYOPHYTA;BRYOPSIDA;HOOKERIALES;HOOKERIACEAE;TRACHYXIPHIUM SUBFALCATUM W.R.BUCK, 1987;GUACHAROS;11.0;2001.0;2669993
2977;PLANTAE;TRACHEOPHYTA;LILIOPSIDA;POALES;BROMELIACEAE;TILLANDSIA FENDLERI GRISEB.;IGUAQUE;12.0;2002.0;2694600
2979;PLANTAE;TRACHEOPHYTA;LILIOPSIDA;POALES;BROMELIACEAE;TILLANDSIA DENUDATA ANDRA©;IGUAQUE;12.0;2002.0;2695281
